Sample,Elapsed (s),Write Speed (MB/s),Bytes Written,Capacity %,Drive Total Bytes,Drive Used Bytes,Notes
335,167.825,303.30,413398990848,43.97,2000263573504,470990987264,
336,168.326,319.53,413566763008,43.99,2000263573504,470990987264,
337,168.827,303.32,413726146560,44.01,2000263573504,470990987264,
338,169.328,319.35,413893918720,44.03,2000263573504,470990987264,
339,169.830,302.73,414053302272,44.04,2000263573504,470990987264,
340,170.331,271.70,414195908608,44.06,2000263573504,470990987264,
341,170.832,207.66,414304960512,44.07,2000263573504,470990987264,
342,171.333,223.35,414422401024,44.08,2000263573504,470990987264,
343,171.834,223.79,414539841536,44.09,2000263573504,470990987264,
344,172.334,207.70,414648893440,44.11,2000263573504,470990987264,
345,172.836,191.47,414749556736,44.12,2000263573504,470990987264,
346,173.336,191.82,414850220032,44.13,2000263573504,470990987264,
347,173.837,207.52,414959271936,44.14,2000263573504,470990987264,
348,174.339,191.53,415059935232,44.15,2000263573504,470990987264,
349,174.839,191.65,415160598528,44.16,2000263573504,470990987264,
350,175.340,223.75,415278039040,44.17,2000263573504,470990987264,
351,175.841,191.59,415378702336,44.18,2000263573504,470990987264,
352,176.342,207.44,415487754240,44.20,2000263573504,470990987264,
353,176.843,207.84,415596806144,44.21,2000263573504,470990987264,
354,177.343,335.69,415772966912,44.23,2000263573504,470990987264,
355,177.844,495.55,416033013760,44.25,2000263573504,470990987264,
356,178.344,495.70,416293060608,44.28,2000263573504,470990987264,
357,178.844,543.74,416578273280,44.31,2000263573504,470990987264,
358,179.345,479.54,416829931520,44.34,2000263573504,470990987264,
359,179.845,495.45,417089978368,44.37,2000263573504,470990987264,
360,180.346,495.15,417350025216,44.39,2000263573504,470990987264,
361,180.847,511.46,417618460672,44.42,2000263573504,470990987264,
362,181.348,462.68,417861730304,44.45,2000263573504,470990987264,
363,181.849,399.56,418071445504,44.47,2000263573504,470990987264,
364,182.349,431.48,418297937920,44.49,2000263573504,470990987264,
365,182.851,430.78,418524430336,44.52,2000263573504,470990987264,
366,183.351,399.40,418734145536,44.54,2000263573504,470990987264,
367,183.853,430.92,418960637952,44.56,2000263573504,470990987264,
368,184.354,383.30,419161964544,44.59,2000263573504,470990987264,
369,184.861,394.05,419371679744,44.61,2000263573504,470990987264,
370,185.363,398.35,419581394944,44.63,2000263573504,470990987264,
371,185.864,431.06,419807887360,44.65,2000263573504,470990987264,
372,186.365,351.82,419992436736,44.67,2000263573504,470990987264,
373,186.865,399.61,420202151936,44.70,2000263573504,470990987264,
374,187.365,367.73,420395089920,44.72,2000263573504,470990987264,
375,187.866,415.71,420613193728,44.74,2000263573504,470990987264,
376,188.368,414.21,420831297536,44.76,2000263573504,470990987264,
377,188.869,479.31,421082955776,44.79,2000263573504,470990987264,
378,189.369,543.15,421368168448,44.82,2000263573504,470990987264,
379,189.870,479.40,421619826688,44.85,2000263573504,470990987264,
380,190.371,495.34,421879873536,44.87,2000263573504,470990987264,
381,190.871,495.64,422139920384,44.90,2000263573504,470990987264,
382,191.373,494.16,422399967232,44.93,2000263573504,470990987264,
383,191.882,503.13,422668402688,44.96,2000263573504,470990987264,
384,192.382,527.58,422945226752,44.99,2000263573504,470990987264,
385,192.883,415.25,423163330560,45.01,2000263573504,470990987264,
386,193.383,431.64,423389822976,45.04,2000263573504,470990987264,
387,193.884,431.75,423616315392,45.06,2000263573504,470990987264,
388,194.384,431.46,423842807808,45.08,2000263573504,470990987264,
389,194.885,399.45,424052523008,45.11,2000263573504,470990987264,
390,195.385,431.70,424279015424,45.13,2000263573504,470990987264,
391,195.886,415.46,424497119232,45.15,2000263573504,470990987264,
392,196.387,399.59,424706834432,45.18,2000263573504,470990987264,
393,196.887,431.46,424933326848,45.20,2000263573504,470990987264,
394,197.388,399.56,425143042048,45.22,2000263573504,470990987264,
395,197.891,381.68,425344368640,45.24,2000263573504,470990987264,
396,198.392,398.86,425554083840,45.27,2000263573504,470990987264,
397,198.893,399.29,425763799040,45.29,2000263573504,470990987264,
398,199.394,431.52,425990291456,45.31,2000263573504,470990987264,
399,199.894,399.45,426200006656,45.33,2000263573504,470990987264,
400,200.396,430.94,426426499072,45.36,2000263573504,470990987264,
401,200.896,431.27,426652991488,45.38,2000263573504,470990987264,
402,201.397,383.52,426854318080,45.40,2000263573504,470990987264,
403,201.898,415.42,427072421888,45.43,2000263573504,470990987264,
404,202.399,415.24,427290525696,45.45,2000263573504,470990987264,
405,202.900,431.01,427517018112,45.47,2000263573504,470990987264,
406,203.401,399.38,427726733312,45.50,2000263573504,470990987264,
407,203.901,399.59,427936448512,45.52,2000263573504,470990987264,
408,204.402,319.66,428104220672,45.54,2000263573504,470990987264,
409,204.903,335.35,428280381440,45.56,2000263573504,470990987264,
410,205.405,302.39,428439764992,45.57,2000263573504,470990987264,
411,205.908,334.44,428615925760,45.59,2000263573504,470990987264,
412,206.408,303.67,428775309312,45.61,2000263573504,470990987264,
413,206.910,319.01,428943081472,45.63,2000263573504,470990987264,
414,207.413,318.09,429110853632,45.64,2000263573504,470990987264,
415,207.914,335.25,429287014400,45.66,2000263573504,470990987264,
416,208.414,319.72,429454786560,45.68,2000263573504,470990987264,
417,208.916,318.91,429622558720,45.70,2000263573504,470990987264,
418,209.417,319.16,429790330880,45.72,2000263573504,470990987264,
419,209.918,351.26,429974880256,45.74,2000263573504,470990987264,
420,210.419,287.82,430125875200,45.75,2000263573504,470990987264,
421,210.919,319.54,430293647360,45.77,2000263573504,470990987264,
422,211.420,303.63,430453030912,45.79,2000263573504,470990987264,
423,211.921,207.73,430562082816,45.80,2000263573504,470990987264,
424,212.421,223.74,430679523328,45.81,2000263573504,470990987264,
425,212.922,207.66,430788575232,45.82,2000263573504,470990987264,
426,213.425,238.62,430914404352,45.84,2000263573504,470990987264,
427,213.926,207.60,431023456256,45.85,2000263573504,470990987264,
